,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,predtest,Residual,,
3,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,5.841195367,-0.158804633,,
5,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,5.79461879,-0.20538121,,
7,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,5.435258167,-0.564741833,,The Residual value is low that means model accuracy is high.
9,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,5.162332347,-0.837667653,,
20,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,5.515505259,0.515505259,,
23,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,5.949251307,-2.050748693,,
31,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,5.866747132,-0.133252868,,
37,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,5.429289692,0.429289692,,
38,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,5.816977107,-0.183022893,,
43,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,5.359376392,-0.640623608,,
45,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,5.506656344,-0.493343656,,
49,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,5.359376392,-0.640623608,,
52,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,6.102875777,-0.897124223,,
53,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,6.118731947,-0.881268053,,
56,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,6.117808027,0.117808027,,
62,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,5.747069667,-0.252930333,,
64,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,5.40792807,-0.59207193,,
65,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,5.739699344,-0.260300656,,
72,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,5.448020716,0.448020716,,
76,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,5.582119029,0.582119029,,
78,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,6.270467732,-0.729532268,,
92,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,5.417642678,0.417642678,,
94,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,6.79760737,-0.20239263,,
95,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,6.466965668,-0.533034332,,
